2025-03-29 17:34:09.092 [warning] Dir "/home/sandyaa2004/.pixi/envs" is not watchable (directory does not exist)
2025-03-29 17:59:44.340 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 18:00:17.929 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 18:00:20.650 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 18:01:51.452 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 18:02:58.653 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 18:06:01.831 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 18:07:08.573 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 18:07:54.527 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 18:08:54.170 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 18:20:37.538 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 18:22:26.370 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 18:23:23.180 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 18:31:55.257 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 18:33:06.220 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 18:34:03.059 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 18:34:54.206 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 18:34:58.441 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 18:35:03.446 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 18:35:10.934 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 18:35:14.091 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 18:35:16.616 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 18:35:24.244 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/check_corpora.py
2025-03-29 18:35:25.383 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/check_corpora.py
2025-03-29 18:35:27.924 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/check_corpora.py
2025-03-29 18:35:31.048 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/check_corpora.py
2025-03-29 18:35:35.012 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/list_files.py
2025-03-29 18:35:37.426 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/list_files.py
2025-03-29 18:35:41.911 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/list_files.py
2025-03-29 18:35:45.620 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/list_files.py
2025-03-29 18:35:47.852 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/list_files.py
2025-03-29 18:35:50.080 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/list_files.py
2025-03-29 18:35:57.461 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/rag_setup.py
2025-03-29 18:35:59.888 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/rag_setup.py
2025-03-29 18:36:02.681 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/rag_setup.py
2025-03-29 18:36:05.002 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/rag_setup.py
2025-03-29 18:36:09.069 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/import_files.py
2025-03-29 18:36:11.104 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/import_files.py
2025-03-29 18:36:12.705 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/import_files.py
2025-03-29 18:36:15.776 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/import_files.py
2025-03-29 18:36:17.347 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/import_files.py
2025-03-29 18:36:21.096 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/import_files.py
2025-03-29 18:36:22.701 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/import_files.py
2025-03-29 18:36:49.192 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 18:36:52.116 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 18:42:55.763 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 18:43:57.205 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 18:44:05.949 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 18:44:09.739 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 18:44:13.040 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 18:44:16.409 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 18:44:20.163 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 18:44:22.656 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 18:44:25.397 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
