language client is not ready, cannot initialize chat state
I0329 17:01:05.116014   74795 serve.go:43] cloudcode_cli (Mar 16 2025 10:36:32 -0700, cl:737377283 baseline:736258458)
I0329 17:01:05.882445   74795 experiments.go:128] Applied experiment flag "DuetAiCloudCodeAPI__enable_cloudcode_api" to useCloudCodeAPI with value true
I0329 17:01:05.882465   74795 experiments.go:149] Applied experiment flag "DuetAICodeTransform__display_prompt_recitations" to cloudCodeOpts.EnablePromptEnhancementForTransform with value true
I0329 17:01:05.882490   74795 experiments.go:240] Applied experiment flag "DuetAiLocalRag__local_rag_tokenization_algorithm" to localRagTokenizationAlgorithm with value 
I0329 17:01:05.882503   74795 experiments.go:112] Applied experiment flag "DuetAiGeneration__codeGeneration_context_window_size" to otherFilesGenerationSizeLimit with value 64000
I0329 17:01:05.882517   74795 experiments.go:116] Applied experiment flag "Chat__chat_context_window_size" to chat.contextWindowSize with value -1
I0329 17:01:05.882533   74795 experiments.go:216] Applied experiment flag "DuetAiLocalRag__max_file_search_depth" to maxFileSearchDepth with value 2
I0329 17:01:05.882549   74795 experiments.go:192] Applied experiment flag "DuetAiLocalRag__otherfiles_completion_limit" to otherFilesCompletionLimit with value 15
I0329 17:01:05.882567   74795 experiments.go:196] Applied experiment flag "DuetAiLocalRag__otherfiles_chat_limit" to otherFilesChatLimit with value 20
I0329 17:01:05.882585   74795 experiments.go:228] Applied experiment flag "DuetAiLocalRag__top_k_doc_files_to_include" to topKDocFilesToInclude with value 2
I0329 17:01:05.882598   74795 experiments.go:120] Applied experiment flag "Chat__fca_chat_context_window_size" to chat.fcaContextWindowSize with value 450000
I0329 17:01:05.882610   74795 experiments.go:176] Applied experiment flag "DuetAiLocalRag__otherfiles_generation_limit" to otherFilesGenerationLimit with value 40
I0329 17:01:05.882630   74795 experiments.go:232] Applied experiment flag "DuetAiLocalRag__top_k_test_files_to_include" to topKTestFilesToInclude with value 2
I0329 17:01:05.882666   74795 experiments.go:136] Applied experiment flag "DuetAiMendelOverrides__inlineSuggestions_debounceMs" to completionOpts.debounce with value 300
I0329 17:01:05.882690   74795 experiments.go:236] Applied experiment flag "DuetAiLocalRag__local_rag_reranking_by_language" to localRAGRerankingByLanguageParam with value 0
I0329 17:01:05.882702   74795 experiments.go:132] Applied experiment flag "DuetAiMendelOverrides__codeCompletion_defaultThreshold" to completionOpts.minScoreTheshold with value -100
I0329 17:01:05.882720   74795 experiments.go:180] Applied experiment flag "DuetAiLocalRag__cache_co_located" to coLocated with value 20
I0329 17:01:05.882732   74795 experiments.go:184] Applied experiment flag "DuetAiLocalRag__cache_file_limit" to fileLimit with value 4.1943e+06
I0329 17:01:05.882744   74795 experiments.go:188] Applied experiment flag "DuetAiLocalRag__cache_total_files" to totalFiles with value 250
I0329 17:01:05.882758   74795 experiments.go:200] Extracted experiment flag "DuetAiRemoteRag__multi_query_tail_ns_for_completion" to multiQueryTailNS with value []
I0329 17:01:05.882776   74795 experiments.go:204] Extracted experiment flag "DuetAiRemoteRag__multi_query_tail_ns_for_generation" to multiQueryTailNS with value []
I0329 17:01:05.882793   74795 experiments.go:220] Applied experiment flag "DuetAiLocalRag__substrings_to_identify_doc_prompts" to substringsToIdentifyDocPrompts with value [document comment]
I0329 17:01:05.882816   74795 experiments.go:224] Applied experiment flag "DuetAiLocalRag__substrings_to_identify_test_prompts" to substringsToIdentifyTestPrompts with value [test]
I0329 17:01:05.882859   74795 configuration.go:479] Repopulating context cache from document cache
W0329 17:01:05.883008   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:05.886117   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:05.887312   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:05.888245   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:05.888719   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:05.889097   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:05.890531   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:46.900475   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:46.902114   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:46.902873   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:46.903282   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:46.903588   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:46.904220   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:46.905078   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
I0329 17:01:46.997206   74795 conversation.go:859] Starting getChatIDEContext with detected intent: 
I0329 17:01:46.997464   74795 document.go:421] NoneEditType, returning ReasonRecentlyOpened
I0329 17:01:46.997542   74795 ide_context.go:131] Unable to read file at /home/sandyaa2004/.aiexclude
/home/sandyaa2004
file:///home/sandyaa2004
I0329 17:01:46.997561   74795 conversation.go:896] Unable to retrieve excluded files for request #10: open /home/sandyaa2004/.aiexclude: no such file or directory
I0329 17:01:46.997622   74795 rag_cache.go:973] Retrieving and scoring colocated and open files
I0329 17:01:46.997634   74795 rag_cache.go:1008] rerankByLangBoost=0
W0329 17:01:48.252420   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:48.253689   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:48.256405   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:48.256841   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:48.257085   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:48.257393   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:48.258025   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
I0329 17:01:48.351257   74795 conversation.go:859] Starting getChatIDEContext with detected intent: 
I0329 17:01:48.351315   74795 document.go:421] NoneEditType, returning ReasonRecentlyOpened
I0329 17:01:48.351363   74795 ide_context.go:131] Unable to read file at /home/sandyaa2004/.aiexclude
/home/sandyaa2004
file:///home/sandyaa2004
I0329 17:01:48.351377   74795 conversation.go:896] Unable to retrieve excluded files for request #15: open /home/sandyaa2004/.aiexclude: no such file or directory
I0329 17:01:48.351410   74795 rag_cache.go:973] Retrieving and scoring colocated and open files
I0329 17:01:48.351421   74795 rag_cache.go:1008] rerankByLangBoost=0
W0329 17:01:49.424680   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:49.425835   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:49.426367   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:49.426766   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:49.427047   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:49.427419   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:49.428133   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
I0329 17:01:49.523834   74795 conversation.go:859] Starting getChatIDEContext with detected intent: 
I0329 17:01:49.523875   74795 document.go:421] NoneEditType, returning ReasonRecentlyOpened
I0329 17:01:49.523920   74795 ide_context.go:131] Unable to read file at /home/sandyaa2004/.aiexclude
/home/sandyaa2004
file:///home/sandyaa2004
I0329 17:01:49.523934   74795 conversation.go:896] Unable to retrieve excluded files for request #19: open /home/sandyaa2004/.aiexclude: no such file or directory
I0329 17:01:49.523964   74795 rag_cache.go:973] Retrieving and scoring colocated and open files
I0329 17:01:49.523974   74795 rag_cache.go:1008] rerankByLangBoost=0
W0329 17:01:50.687689   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:50.688587   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:50.688968   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:50.690836   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:50.691315   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:50.691731   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:50.694536   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
I0329 17:01:50.786200   74795 conversation.go:859] Starting getChatIDEContext with detected intent: 
I0329 17:01:50.786243   74795 document.go:421] NoneEditType, returning ReasonRecentlyOpened
I0329 17:01:50.786285   74795 ide_context.go:131] Unable to read file at /home/sandyaa2004/.aiexclude
/home/sandyaa2004
file:///home/sandyaa2004
I0329 17:01:50.786299   74795 conversation.go:896] Unable to retrieve excluded files for request #23: open /home/sandyaa2004/.aiexclude: no such file or directory
I0329 17:01:50.786329   74795 rag_cache.go:973] Retrieving and scoring colocated and open files
I0329 17:01:50.786337   74795 rag_cache.go:1008] rerankByLangBoost=0
W0329 17:01:54.723961   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:54.724991   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:54.725637   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:54.726072   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:54.726413   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:54.726750   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:01:54.727534   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
I0329 17:01:54.822881   74795 conversation.go:859] Starting getChatIDEContext with detected intent: 
I0329 17:01:54.822927   74795 document.go:421] NoneEditType, returning ReasonRecentlyOpened
I0329 17:01:54.822974   74795 ide_context.go:131] Unable to read file at /home/sandyaa2004/.aiexclude
/home/sandyaa2004
file:///home/sandyaa2004
I0329 17:01:54.822988   74795 conversation.go:896] Unable to retrieve excluded files for request #27: open /home/sandyaa2004/.aiexclude: no such file or directory
I0329 17:01:54.823015   74795 rag_cache.go:973] Retrieving and scoring colocated and open files
I0329 17:01:54.823025   74795 rag_cache.go:1008] rerankByLangBoost=0
W0329 17:03:37.715138   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:03:37.718269   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:03:37.719083   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:03:37.720519   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:03:37.721837   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:03:37.722556   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 17:03:37.723674   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
I0329 17:03:37.814333   74795 conversation.go:859] Starting getChatIDEContext with detected intent: 
I0329 17:03:37.814410   74795 document.go:421] NoneEditType, returning ReasonRecentlyOpened
I0329 17:03:37.814470   74795 ide_context.go:131] Unable to read file at /home/sandyaa2004/.aiexclude
/home/sandyaa2004
file:///home/sandyaa2004
I0329 17:03:37.814487   74795 conversation.go:896] Unable to retrieve excluded files for request #33: open /home/sandyaa2004/.aiexclude: no such file or directory
I0329 17:03:37.814591   74795 rag_cache.go:973] Retrieving and scoring colocated and open files
I0329 17:03:37.814605   74795 rag_cache.go:1008] rerankByLangBoost=0
I0329 17:03:38.447058   74795 conversation.go:859] Starting getChatIDEContext with detected intent: 
I0329 17:03:38.447100   74795 document.go:421] NoneEditType, returning ReasonRecentlyOpened
I0329 17:03:38.447167   74795 ide_context.go:131] Unable to read file at /home/sandyaa2004/.aiexclude
/home/sandyaa2004
file:///home/sandyaa2004
I0329 17:03:38.447183   74795 conversation.go:896] Unable to retrieve excluded files for request #36: open /home/sandyaa2004/.aiexclude: no such file or directory
I0329 17:03:38.447226   74795 rag_cache.go:973] Retrieving and scoring colocated and open files
I0329 17:03:38.447237   74795 rag_cache.go:1008] rerankByLangBoost=0
I0329 17:03:39.153742   74795 conversation.go:859] Starting getChatIDEContext with detected intent: 
I0329 17:03:39.153807   74795 document.go:421] NoneEditType, returning ReasonRecentlyOpened
I0329 17:03:39.153958   74795 ide_context.go:131] Unable to read file at /home/sandyaa2004/.aiexclude
/home/sandyaa2004
file:///home/sandyaa2004
I0329 17:03:39.153977   74795 conversation.go:896] Unable to retrieve excluded files for request #39: open /home/sandyaa2004/.aiexclude: no such file or directory
I0329 17:03:39.154037   74795 rag_cache.go:973] Retrieving and scoring colocated and open files
I0329 17:03:39.154048   74795 rag_cache.go:1008] rerankByLangBoost=0
