language client is not ready, cannot initialize chat state
I0329 16:39:48.669592   72140 serve.go:43] cloudcode_cli (Mar 16 2025 10:36:32 -0700, cl:737377283 baseline:736258458)
I0329 16:39:48.867070   72140 configuration.go:184] product updateChannel will be used
I0329 16:39:48.867130   72140 configuration.go:664] language thresholds: map[]
I0329 16:39:48.867166   72140 configuration.go:611] dataFileExtensions array: [.csv .tsv .jsonl]
I0329 16:39:48.867191   72140 configuration.go:875] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc000bfcd8d StopSequences:map[] DataFilePromptLines:0}
I0329 16:39:48.867234   72140 configuration.go:875] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc000bfcdad StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0329 16:39:48.867276   72140 configuration.go:272] Configured settings for atlasOpts: {"Addr":"","QuotaProject":"","Project":"cloudshell-gca","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"EnableAdminCitationBlock":false,"EnableChatStreaming":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0329 16:39:48.867293   72140 configuration.go:280] Configured settings for cloudCodeOpts: {"Addr":"cloudcode-pa.googleapis.com:443","QuotaProject":"","Project":"cloudshell-gca","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"EnableAdminCitationBlock":false,"EnableChatStreaming":false}
I0329 16:39:48.867304   72140 configuration.go:284] Configured settings for opts: &{trace:false atlasAddr:cloudaicompanion.googleapis.com:443 cloudCodeAddr:cloudcode-pa.googleapis.com:443 cloudCodeQuotaProject: autoGen:false invokeGen:true codeCacheMaxEntries:1024 completionOpts:{debounce:300000000 throttle:100000000 debouncedAfterFetching:false minScoreThreshold:-6 languageThresholds:map[] enableThresholds:true commentCompletion:false citationLengthThreshold:-1 enableRecitations:true citationLogFilePath: repeatedStringFilterThreshold:60 otherFilesGenerationLimit:20 otherFilesGenerationSizeLimit:-1 otherFilesCompletionLimit:0 multiQueryTailNSForCompletion:[] multiQueryTailNSForGeneration:[]} contextExclusionFile:.aiexclude chatOpts:{contextOrdering:fsu maxFileBytes:75000 maxHistoryBytes:500000 escapeContext:false otherFilesLimit:20 otherFilesSizeLimit:-1 userSelectedFilesSizeLimit:-1} useRest:<nil> useCloudCodeAPI:true enableChatStreaming:true enableNotebooks:false enableRAGL:false enableRAGLCompletion:false enableRAGLChat:false ragLRerankByLangBoost:0 raglCoLocated:20 raglTotalFiles:250 raglFileLimit:524288 raglIncludeDocFiles:false raglIncludeUnitTestFile:false raglMaxFileSearchDepth:1 substringsToIdentifyTestPrompts:[test] substringsToIdentifyDocPrompts:[document comment] raglTopKTestFilesToInclude:0 raglTopKDocFilesToInclude:0 raglTokenizationAlgorithm:whitespace}
I0329 16:39:48.867337   72140 configuration.go:286] Configured settings for canCancelRequests: true
I0329 16:39:48.867346   72140 configuration.go:288] Configured settings for contextPromptOpts: &{Endpoint:}
I0329 16:39:48.870474   72140 cloudcode.go:45] Using Cloud Code API
I0329 16:39:48.879125   72140 client.go:432] CompleteCode request: {"enablePromptEnhancement":true,"ideContext":{"currentFile":{"segments":[{"content":"Code Assist healthcheck id: 4bf1abd4-3c05-4061-b3b7-cd9e5a7f5362\nPi = "},{"isSelected":true},{}]}},"metadata":{"ideName":"Code OSS for Cloud Shell","ideType":"CLOUD_SHELL","ideVersion":"1.94.2-cde","platform":"LINUX_AMD64","pluginType":"CLOUD_CODE","pluginVersion":"2.29.0"},"project":"cloudshell-gca","requestId":"cloudcode-737377283-3d2c9da6-640d-4174-9db8-4c16cc4a53f2"}
W0329 16:39:48.902314   72140 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 16:39:48.902631   72140 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 16:39:48.902651   72140 rag_cache.go:715] Tokenization failed for URI file:///home/sandyaa2004/check_corpora.py: tokenizeFunc returned no words
W0329 16:39:48.903007   72140 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 16:39:48.916800   72140 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 16:39:48.920490   72140 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 16:39:48.922971   72140 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 16:39:48.923489   72140 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 16:39:48.923621   72140 rag_cache.go:715] Tokenization failed for URI file:///home/sandyaa2004/check_corpora.py: tokenizeFunc returned no words
I0329 16:39:49.307992   72140 experiments.go:124] Applied experiment flag "Chat__enable_chat_streaming" to chat.enableChatStreaming with value true
I0329 16:39:49.308018   72140 experiments.go:168] Applied experiment flag "DuetAiLocalRag__enable_local_rag_chat" to enableRAGLChat with value true
I0329 16:39:49.308037   72140 experiments.go:153] Applied experiment flag "Chat__display_prompt_recitations" to cloudCodeOpts.EnablePromptEnhancementForChat with value true
I0329 16:39:49.308056   72140 experiments.go:212] Applied experiment flag "DuetAiLocalRag__include_unit_test_files" to includeUnitTestFile with value false
I0329 16:39:49.308070   72140 experiments.go:140] Applied experiment flag "DuetAiMendelOverrides__inlineSuggestions_debounced_after_fetching" to completionOpts.debouncedAfterFetching with value false
I0329 16:39:49.308101   72140 experiments.go:208] Applied experiment flag "DuetAiLocalRag__include_doc_files" to includeDocFiles with value false
I0329 16:39:49.308119   72140 experiments.go:149] Applied experiment flag "DuetAICodeTransform__display_prompt_recitations" to cloudCodeOpts.EnablePromptEnhancementForTransform with value true
I0329 16:39:49.308132   72140 experiments.go:164] Applied experiment flag "DuetAiLocalRag__enable_local_rag" to enableRAGL with value true
I0329 16:39:49.308142   72140 experiments.go:172] Applied experiment flag "DuetAiLocalRag__enable_local_rag_completion" to enableRAGLCompletion with value true
I0329 16:39:49.308178   72140 experiments.go:128] Applied experiment flag "DuetAiCloudCodeAPI__enable_cloudcode_api" to useCloudCodeAPI with value true
I0329 16:39:49.308194   72140 experiments.go:157] Applied experiment flag "GcaCitationBlock__enable_citation_block" to cloudCodeOpts.EnableAdminCitationBlock with value false
I0329 16:39:49.308228   72140 experiments.go:240] Applied experiment flag "DuetAiLocalRag__local_rag_tokenization_algorithm" to localRagTokenizationAlgorithm with value 
I0329 16:39:49.308242   72140 experiments.go:120] Applied experiment flag "Chat__fca_chat_context_window_size" to chat.fcaContextWindowSize with value 450000
I0329 16:39:49.308253   72140 experiments.go:112] Applied experiment flag "DuetAiGeneration__codeGeneration_context_window_size" to otherFilesGenerationSizeLimit with value 64000
I0329 16:39:49.308274   72140 experiments.go:232] Applied experiment flag "DuetAiLocalRag__top_k_test_files_to_include" to topKTestFilesToInclude with value 2
I0329 16:39:49.308289   72140 experiments.go:116] Applied experiment flag "Chat__chat_context_window_size" to chat.contextWindowSize with value -1
I0329 16:39:49.308303   72140 experiments.go:196] Applied experiment flag "DuetAiLocalRag__otherfiles_chat_limit" to otherFilesChatLimit with value 20
I0329 16:39:49.308316   72140 experiments.go:192] Applied experiment flag "DuetAiLocalRag__otherfiles_completion_limit" to otherFilesCompletionLimit with value 15
I0329 16:39:49.308330   72140 experiments.go:176] Applied experiment flag "DuetAiLocalRag__otherfiles_generation_limit" to otherFilesGenerationLimit with value 40
I0329 16:39:49.308348   72140 experiments.go:216] Applied experiment flag "DuetAiLocalRag__max_file_search_depth" to maxFileSearchDepth with value 2
I0329 16:39:49.308375   72140 experiments.go:228] Applied experiment flag "DuetAiLocalRag__top_k_doc_files_to_include" to topKDocFilesToInclude with value 2
I0329 16:39:49.308388   72140 experiments.go:136] Applied experiment flag "DuetAiMendelOverrides__inlineSuggestions_debounceMs" to completionOpts.debounce with value 300
I0329 16:39:49.308404   72140 experiments.go:180] Applied experiment flag "DuetAiLocalRag__cache_co_located" to coLocated with value 20
I0329 16:39:49.308416   72140 experiments.go:184] Applied experiment flag "DuetAiLocalRag__cache_file_limit" to fileLimit with value 4.1943e+06
I0329 16:39:49.308428   72140 experiments.go:188] Applied experiment flag "DuetAiLocalRag__cache_total_files" to totalFiles with value 250
I0329 16:39:49.308448   72140 experiments.go:236] Applied experiment flag "DuetAiLocalRag__local_rag_reranking_by_language" to localRAGRerankingByLanguageParam with value 0
I0329 16:39:49.308462   72140 experiments.go:132] Applied experiment flag "DuetAiMendelOverrides__codeCompletion_defaultThreshold" to completionOpts.minScoreTheshold with value -100
I0329 16:39:49.308478   72140 experiments.go:204] Extracted experiment flag "DuetAiRemoteRag__multi_query_tail_ns_for_generation" to multiQueryTailNS with value []
I0329 16:39:49.308496   72140 experiments.go:200] Extracted experiment flag "DuetAiRemoteRag__multi_query_tail_ns_for_completion" to multiQueryTailNS with value []
I0329 16:39:49.308516   72140 experiments.go:220] Applied experiment flag "DuetAiLocalRag__substrings_to_identify_doc_prompts" to substringsToIdentifyDocPrompts with value [document comment]
I0329 16:39:49.308540   72140 experiments.go:224] Applied experiment flag "DuetAiLocalRag__substrings_to_identify_test_prompts" to substringsToIdentifyTestPrompts with value [test]
I0329 16:39:49.308573   72140 configuration.go:479] Repopulating context cache from document cache
W0329 16:39:49.308727   72140 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 16:39:49.312440   72140 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 16:39:49.315353   72140 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 16:39:49.315383   72140 rag_cache.go:715] Tokenization failed for URI file:///home/sandyaa2004/check_corpora.py: tokenizeFunc returned no words
W0329 16:39:49.316540   72140 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 16:39:49.317383   72140 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 16:39:49.318031   72140 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 16:39:49.321434   72140 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 16:39:49.321522   72140 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
W0329 16:39:49.321536   72140 rag_cache.go:715] Tokenization failed for URI file:///home/sandyaa2004/check_corpora.py: tokenizeFunc returned no words
I0329 16:39:49.417297   72140 tier.go:16] Received tier configuration request: {ProjectID:cloudshell-gca UserDefinedCloudaicompanionProject:true}
I0329 16:39:49.435589   72140 configuration.go:184] product updateChannel will be used
I0329 16:39:49.435753   72140 configuration.go:664] language thresholds: map[]
I0329 16:39:49.435892   72140 configuration.go:611] dataFileExtensions array: [.csv .tsv .jsonl]
I0329 16:39:49.435923   72140 configuration.go:875] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc0013e7e5d StopSequences:map[] DataFilePromptLines:0}
I0329 16:39:49.436091   72140 configuration.go:875] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc0013e7e7d StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0329 16:39:49.436320   72140 configuration.go:272] Configured settings for atlasOpts: {"Addr":"","QuotaProject":"","Project":"cloudshell-gca","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"EnableAdminCitationBlock":false,"EnableChatStreaming":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0329 16:39:49.436344   72140 configuration.go:280] Configured settings for cloudCodeOpts: {"Addr":"cloudcode-pa.googleapis.com:443","QuotaProject":"","Project":"cloudshell-gca","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"EnableAdminCitationBlock":false,"EnableChatStreaming":false}
I0329 16:39:49.436477   72140 configuration.go:284] Configured settings for opts: &{trace:false atlasAddr:cloudaicompanion.googleapis.com:443 cloudCodeAddr:cloudcode-pa.googleapis.com:443 cloudCodeQuotaProject: autoGen:false invokeGen:true codeCacheMaxEntries:1024 completionOpts:{debounce:300000000 throttle:100000000 debouncedAfterFetching:false minScoreThreshold:-6 languageThresholds:map[] enableThresholds:true commentCompletion:false citationLengthThreshold:-1 enableRecitations:true citationLogFilePath: repeatedStringFilterThreshold:60 otherFilesGenerationLimit:20 otherFilesGenerationSizeLimit:-1 otherFilesCompletionLimit:0 multiQueryTailNSForCompletion:[] multiQueryTailNSForGeneration:[]} contextExclusionFile:.aiexclude chatOpts:{contextOrdering:fsu maxFileBytes:75000 maxHistoryBytes:500000 escapeContext:false otherFilesLimit:20 otherFilesSizeLimit:-1 userSelectedFilesSizeLimit:-1} useRest:<nil> useCloudCodeAPI:true enableChatStreaming:true enableNotebooks:false enableRAGL:false enableRAGLCompletion:false enableRAGLChat:false ragLRerankByLangBoost:0 raglCoLocated:20 raglTotalFiles:250 raglFileLimit:524288 raglIncludeDocFiles:false raglIncludeUnitTestFile:false raglMaxFileSearchDepth:1 substringsToIdentifyTestPrompts:[test] substringsToIdentifyDocPrompts:[document comment] raglTopKTestFilesToInclude:0 raglTopKDocFilesToInclude:0 raglTokenizationAlgorithm:whitespace}
I0329 16:39:49.436519   72140 configuration.go:286] Configured settings for canCancelRequests: true
I0329 16:39:49.436664   72140 configuration.go:288] Configured settings for contextPromptOpts: &{Endpoint:}
I0329 16:39:49.443508   72140 client.go:432] CompleteCode request: {"enablePromptEnhancement":true,"ideContext":{"currentFile":{"segments":[{"content":"Code Assist healthcheck id: 05d5fdcb-5b4e-4324-8163-68ce22d34a84\nPi = "},{"isSelected":true},{}]}},"metadata":{"ideName":"Code OSS for Cloud Shell","ideType":"CLOUD_SHELL","ideVersion":"1.94.2-cde","platform":"LINUX_AMD64","pluginType":"CLOUD_CODE","pluginVersion":"2.29.0"},"project":"cloudshell-gca","requestId":"cloudcode-737377283-92771ed8-1668-48e1-85e4-1e528a01e1bc"}
I0329 16:39:58.515026   72140 conversation.go:859] Starting getChatIDEContext with detected intent: 
I0329 16:39:58.515073   72140 document.go:425] OtherEditType (UNKNOWN_EDIT), returning ReasonRecentlyEdited
I0329 16:39:58.515129   72140 ide_context.go:131] Unable to read file at /home/sandyaa2004/.aiexclude
/home/sandyaa2004
file:///home/sandyaa2004
I0329 16:39:58.515166   72140 conversation.go:896] Unable to retrieve excluded files for request #10: open /home/sandyaa2004/.aiexclude: no such file or directory
I0329 16:39:58.515211   72140 document.go:421] NoneEditType, returning ReasonRecentlyOpened
I0329 16:41:14.523664   72140 conversation.go:859] Starting getChatIDEContext with detected intent: 
I0329 16:41:14.523720   72140 document.go:421] NoneEditType, returning ReasonRecentlyOpened
I0329 16:41:14.523778   72140 ide_context.go:131] Unable to read file at /home/sandyaa2004/.aiexclude
/home/sandyaa2004
file:///home/sandyaa2004
I0329 16:41:14.523796   72140 conversation.go:896] Unable to retrieve excluded files for request #19: open /home/sandyaa2004/.aiexclude: no such file or directory
I0329 16:41:14.523884   72140 document.go:425] OtherEditType (UNKNOWN_EDIT), returning ReasonRecentlyEdited
I0329 16:41:15.338466   72140 conversation.go:859] Starting getChatIDEContext with detected intent: 
I0329 16:41:15.338510   72140 document.go:421] NoneEditType, returning ReasonRecentlyOpened
I0329 16:41:15.338564   72140 ide_context.go:131] Unable to read file at /home/sandyaa2004/.aiexclude
/home/sandyaa2004
file:///home/sandyaa2004
I0329 16:41:15.338579   72140 conversation.go:896] Unable to retrieve excluded files for request #21: open /home/sandyaa2004/.aiexclude: no such file or directory
I0329 16:41:15.338610   72140 document.go:425] OtherEditType (UNKNOWN_EDIT), returning ReasonRecentlyEdited
I0329 16:41:16.085711   72140 conversation.go:859] Starting getChatIDEContext with detected intent: 
I0329 16:41:16.085753   72140 document.go:421] NoneEditType, returning ReasonRecentlyOpened
I0329 16:41:16.085796   72140 ide_context.go:131] Unable to read file at /home/sandyaa2004/.aiexclude
/home/sandyaa2004
file:///home/sandyaa2004
I0329 16:41:16.085809   72140 conversation.go:896] Unable to retrieve excluded files for request #23: open /home/sandyaa2004/.aiexclude: no such file or directory
I0329 16:41:16.085837   72140 document.go:425] OtherEditType (UNKNOWN_EDIT), returning ReasonRecentlyEdited
E0329 16:41:16.846996   72140 retention.go:641] Failed to get offsets at range due to: end offset: invalid column number
E0329 16:41:16.847030   72140 retention.go:641] Failed to get offsets at range due to: end offset: invalid column number
E0329 16:41:16.847041   72140 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
W0329 16:41:16.847057   72140 retention.go:173] Could not get offsets for range in document. range: &{{17 26} {17 39}}, error: invalid column number
W0329 16:41:16.847085   72140 retention.go:173] Could not get offsets for range in document. range: &{{18 14} {18 99}}, error: invalid column number
W0329 16:41:16.847094   72140 retention.go:173] Could not get offsets for range in document. range: &{{20 15} {20 19}}, error: invalid column number
W0329 16:41:16.847124   72140 document.go:267] Error computing chars added only: getting byte offset for end of change range: invalid line number
I0329 16:41:16.945615   72140 conversation.go:859] Starting getChatIDEContext with detected intent: 
I0329 16:41:16.945658   72140 document.go:425] OtherEditType (UNKNOWN_EDIT), returning ReasonRecentlyEdited
I0329 16:41:16.945733   72140 ide_context.go:131] Unable to read file at /home/sandyaa2004/.aiexclude
/home/sandyaa2004
file:///home/sandyaa2004
I0329 16:41:16.945748   72140 conversation.go:896] Unable to retrieve excluded files for request #26: open /home/sandyaa2004/.aiexclude: no such file or directory
I0329 16:41:16.945775   72140 document.go:425] OtherEditType (UNKNOWN_EDIT), returning ReasonRecentlyEdited
I0329 16:41:48.809854   72140 life_cycle.go:300] codeReportEvery: recomputing codereport metric
I0329 16:42:17.723811   72140 conversation.go:859] Starting getChatIDEContext with detected intent: 
I0329 16:42:17.723879   72140 document.go:421] NoneEditType, returning ReasonRecentlyOpened
I0329 16:42:17.723940   72140 ide_context.go:131] Unable to read file at /home/sandyaa2004/.aiexclude
/home/sandyaa2004
file:///home/sandyaa2004
I0329 16:42:17.723955   72140 conversation.go:896] Unable to retrieve excluded files for request #32: open /home/sandyaa2004/.aiexclude: no such file or directory
