2025-03-30 05:11:49.196 [warning] Dir "/home/sandyaa2004/.pixi/envs" is not watchable (directory does not exist)
2025-03-30 05:56:08.674 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new1.py
2025-03-30 06:02:40.058 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new.py
2025-03-30 06:02:48.691 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new.py
2025-03-30 06:02:50.082 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new.py
2025-03-30 06:05:04.950 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new.py
2025-03-30 06:05:06.076 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new.py
2025-03-30 06:07:40.255 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new.py
2025-03-30 06:08:19.945 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new.py
2025-03-30 06:08:21.865 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new.py
2025-03-30 06:09:23.534 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new.py
2025-03-30 06:11:13.385 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new1.py
2025-03-30 06:11:54.892 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new1.py
2025-03-30 06:13:08.557 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new1.py
2025-03-30 06:15:10.414 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new1.py
2025-03-30 06:16:47.218 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new1.py
2025-03-30 06:21:03.906 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new1.py
2025-03-30 06:22:06.988 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 06:23:06.049 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new1.py
2025-03-30 06:24:21.573 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new1.py
2025-03-30 06:25:26.943 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new1.py
2025-03-30 06:26:12.975 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new1.py
2025-03-30 06:28:02.667 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new1.py
2025-03-30 06:28:24.755 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new1.py
2025-03-30 06:28:26.535 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new1.py
2025-03-30 06:31:44.706 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new1.py
2025-03-30 06:32:30.720 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new1.py
2025-03-30 06:33:31.046 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new1.py
2025-03-30 06:34:23.511 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new1.py
2025-03-30 06:35:10.552 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new1.py
2025-03-30 06:36:36.268 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new1.py
2025-03-30 06:37:51.620 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new1.py
2025-03-30 06:39:31.814 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 06:41:09.338 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 06:43:48.546 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 06:44:53.844 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 06:44:57.560 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 06:45:00.184 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 06:47:41.512 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 06:49:38.791 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 06:52:40.717 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/.another.py
2025-03-30 06:54:12.241 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/.another.py
2025-03-30 06:55:51.447 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/.another.py
2025-03-30 06:58:33.260 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/.another.py
2025-03-30 06:59:42.485 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/.another.py
2025-03-30 07:02:45.544 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/.another.py
2025-03-30 07:03:29.265 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/.another.py
2025-03-30 07:04:14.964 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/.another.py
2025-03-30 07:05:27.971 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 07:05:37.033 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 07:08:19.148 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 07:09:18.363 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 07:12:38.334 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 07:15:17.470 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 07:15:32.071 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 07:15:35.885 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 07:15:55.120 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 07:19:05.944 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 07:21:16.743 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new.py
2025-03-30 07:22:40.347 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 07:23:46.956 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 07:24:16.025 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 07:24:19.799 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 07:24:23.838 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 07:24:26.582 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 07:24:30.102 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 07:24:31.268 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 07:24:33.419 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 07:24:36.411 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 07:24:37.887 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 07:24:41.779 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 07:24:44.100 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 07:26:42.245 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 07:26:45.490 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 07:27:02.270 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 07:29:21.878 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/vertex_rag.py
